impl,batch,seq,d,dtype,causal,fwd_ms,mem_before_bwd_mib,bwd_ms,fwd_bwd_ms,status
naive,8,256,16,float32,False,0.8378916187211871,nan,0.5874666152521968,1.1747917626053095,ok
naive,8,1024,16,float32,False,10.897699999623,nan,13.325841398909688,23.692958406172693,ok
naive,8,4096,16,float32,False,159.4855085713789,nan,454.61973340716213,455.03285001032054,ok
naive,8,256,32,float32,False,0.5567584186792374,nan,0.6657665828242898,1.228616782464087,ok
naive,8,1024,32,float32,False,14.303541812114418,nan,28.334233420901,20.400316594168544,ok
naive,8,4096,32,float32,False,170.71258316282183,nan,272.3973165731877,442.5371165852994,ok
naive,8,256,64,float32,False,0.6404333980754018,nan,1.3746248092502356,3.7337918067350984,ok
naive,8,1024,64,float32,False,21.245291410014033,nan,25.181066780351102,39.32668340858072,ok
naive,8,4096,64,float32,False,224.69985822681338,nan,441.584225022234,590.3817499987781,ok
naive,8,256,128,float32,False,2.063258597627282,nan,2.617183397524059,4.476733598858118,ok
naive,8,1024,128,float32,False,15.142650227062404,nan,30.60073358938098,49.711224786005914,ok
naive,8,4096,128,float32,False,280.5128252133727,nan,378.25165819376707,571.5530584100634,ok
compiled,8,256,16,float32,False,11.277583404444158,nan,0.4993499722331762,0.9724248200654984,ok
compiled,8,1024,16,float32,False,54.575083195231855,nan,8.869608445093036,17.478574998676777,ok
compiled,8,4096,16,float32,False,133.42241658829153,nan,288.6896167881787,430.1041333936155,ok
compiled,8,256,32,float32,False,102.75895001832396,nan,0.8024580078199506,1.6511166235432029,ok
compiled,8,1024,32,float32,False,9.889708389528096,nan,13.063166826032102,21.187133179046214,ok
compiled,8,4096,32,float32,False,147.1967915771529,nan,352.6533661875874,484.2688417993486,ok
compiled,8,256,64,float32,False,1.064658211544156,nan,0.7816335652023554,1.648125215433538,ok
compiled,8,1024,64,float32,False,11.914783366955817,nan,20.87906659580767,35.72628363035619,ok
compiled,8,4096,64,float32,False,164.45693320129067,nan,311.17108303587884,511.53070838190615,ok
compiled,8,256,128,float32,False,0.8096500067040324,nan,1.2491166125983,1.7212582053616643,ok
compiled,8,1024,128,float32,False,11.411133431829512,nan,20.500941411592066,36.24439160339534,ok
compiled,8,4096,128,float32,False,192.82426638528705,nan,331.07825859915465,505.3306496236474,ok
flash_pytorch,8,256,16,float32,False,4.848324623890221,nan,1.4510915847495198,6.594333401881158,ok
flash_pytorch,8,1024,16,float32,False,145.82324184011668,nan,38.0729999858886,127.47289997059852,ok
flash_pytorch,8,4096,16,float32,False,868.0224997922778,nan,672.3290666472167,2631.2623753910884,ok
flash_pytorch,8,256,32,float32,False,5.263525014743209,nan,4.451350006274879,13.394975196570158,ok
flash_pytorch,8,1024,32,float32,False,221.59956640098244,nan,28.362891962751746,95.73951638303697,ok
flash_pytorch,8,4096,32,float32,False,756.8151833955199,nan,634.2915832530707,1652.943974826485,ok
flash_pytorch,8,256,64,float32,False,4.019841807894409,nan,1.7533000092953444,5.538949789479375,ok
flash_pytorch,8,1024,64,float32,False,60.757800145074725,nan,28.945566643960774,80.90242501348257,ok
flash_pytorch,8,4096,64,float32,False,997.0689001958817,nan,964.2685582162812,1419.8923666030169,ok
flash_pytorch,8,256,128,float32,False,5.017550219781697,nan,2.082416578195989,7.086941576562822,ok
flash_pytorch,8,1024,128,float32,False,77.98854161519557,nan,34.92086660116911,114.34675839263946,ok
flash_pytorch,8,4096,128,float32,False,1325.34195818007,nan,903.1919916393235,3024.2740497691557,ok
