backend,world_size,size_mb,mean_ms,std_ms,bus_bw_GBps
gloo,2,1.0,0.7768291048705578,0.07516162958557053,1.3498155429883425
gloo,2,10.0,4.252331308089197,0.6701856902411762,2.4658850029048707
gloo,2,100.0,42.050766543252394,4.671735828884348,2.4935954471161907
gloo,2,1000.0,526.4250707405154,67.0985093556138,1.9918808170077875
gloo,4,1.0,2.14094155235216,0.999171024136499,0.7346599435523881
gloo,4,10.0,11.831679168972187,1.6212373176153303,1.3293666752938451
gloo,4,100.0,97.68272803339642,6.307405802307427,1.6101761607868474
gloo,4,1000.0,1023.6190271447412,174.82827614393307,1.5365716719699025
gloo,6,1.0,3.9687897156303134,0.8438104458010701,0.4403424700945923
gloo,6,10.0,27.978400711435825,15.566411012174292,0.6246342257698618
gloo,6,100.0,174.73145909025334,17.19549336708602,1.0001786030779793
gloo,6,1000.0,5161.134768017413,4839.2753844565705,0.3386128720172902
